station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SBAN,2025-01-25 06:00,68.00,62.60,82.86,110.00,4.00,0.00,30.06,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,68.00,SBAN 250600Z 11004KT 9999 FEW020 20/17 Q1018,M
SBGR,2025-01-25 06:00,69.80,68.00,94.01,60.00,7.00,0.00,30.00,M,6.21,M,BKN,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 250600Z 06007KT 9999 BKN008 21/20 Q1016,M
SBAN,2025-01-25 07:00,68.00,62.60,82.86,120.00,4.00,0.00,30.09,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,68.00,SBAN 250700Z 12004KT 9999 FEW020 20/17 Q1019,M
SBGR,2025-01-25 07:00,69.80,68.00,94.01,90.00,5.00,0.00,30.00,M,4.97,M,BKN,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 250700Z 09005KT 8000 BKN008 21/20 Q1016,M
SBAN,2025-01-25 08:00,68.00,62.60,82.86,110.00,4.00,0.00,30.09,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,68.00,SBAN 250800Z 11004KT 9999 FEW020 20/17 Q1019,M
SBGR,2025-01-25 08:00,69.80,68.00,94.01,70.00,6.00,0.00,30.00,M,4.97,M,BKN,M,M,M,700.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 250800Z 07006KT 8000 BKN007 21/20 Q1016,M
SBGR,2025-01-25 09:00,68.00,68.00,100.00,70.00,3.00,0.00,30.03,M,3.73,M,BKN,M,M,M,600.00,M,M,M,M,M,M,M,M,M,M,68.00,SBGR 250900Z 07003KT 6000 BKN006 20/20 Q1017,M
SBAN,2025-01-25 09:00,68.00,62.60,82.86,80.00,5.00,0.00,30.09,M,6.21,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,68.00,SBAN 250900Z 08005KT 9999 FEW015 20/17 Q1019,M
SBGR,2025-01-25 10:00,69.80,68.00,94.01,80.00,3.00,0.00,30.06,M,4.97,M,SCT,M,M,M,600.00,M,M,M,M,M,M,M,M,M,M,69.80,SBGR 251000Z 08003KT 8000 3500E SCT006 21/20 Q1018,M
SBAN,2025-01-25 10:00,69.80,62.60,77.90,90.00,5.00,0.00,30.12,M,6.21,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,69.80,SBAN 251000Z 09005KT 9999 FEW015 21/17 Q1020,M
SBGR,2025-01-25 11:00,73.40,69.80,88.51,70.00,5.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,SBGR 251100Z 07005KT CAVOK 23/21 Q1018,M
SBAN,2025-01-25 11:00,73.40,64.40,73.44,70.00,7.00,0.00,30.15,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,SBAN 251100Z 07007KT CAVOK 23/18 Q1021,M
SBAN,2025-01-25 12:00,78.80,64.40,61.36,60.00,8.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,SBAN 251200Z 06008KT CAVOK 26/18 Q1022,M
SBGR,2025-01-25 12:00,78.80,69.80,73.95,70.00,3.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,SBGR 251200Z 07003KT CAVOK 26/21 Q1018,M
SBGR,2025-01-25 13:00,82.40,69.80,65.74,320.00,9.00,0.00,30.06,M,6.21,21.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,86.22,SBGR 251300Z 32009G21KT CAVOK 28/21 Q1018,M
SBAN,2025-01-25 13:00,78.80,64.40,61.36,80.00,6.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,SBAN 251300Z 08006KT CAVOK 26/18 Q1022,M
SBGR,2025-01-25 14:00,86.00,69.80,58.55,330.00,12.00,0.00,30.03,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,90.58,SBGR 251400Z 33012KT 9999 FEW030 30/21 Q1017,M
SBAN,2025-01-25 14:00,84.20,62.60,48.32,40.00,6.00,0.00,30.18,M,6.21,M,SCT,M,M,M,3500.00,M,M,M,M,M,M,M,M,M,M,85.03,SBAN 251400Z 04006KT 9999 SCT035 29/17 Q1022,M
SBGR,2025-01-25 15:00,86.00,68.00,55.04,320.00,10.00,0.00,30.03,M,6.21,M,SCT,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,89.41,SBGR 251500Z 32010KT 9999 SCT040 30/20 Q1017,M
SBAN,2025-01-25 15:00,84.20,62.60,48.32,30.00,5.00,0.00,30.15,M,6.21,M,SCT,FEW,M,M,3500.00,4500.00,M,M,M,M,M,M,M,M,M,85.03,SBAN 251500Z 03005KT 9999 SCT035 FEW045TCU 29/17 Q1021,M
SBAN,2025-01-25 16:00,84.20,64.40,51.47,50.00,4.00,0.00,30.12,M,6.21,M,SCT,FEW,M,M,3500.00,4500.00,M,M,M,M,M,M,M,M,M,85.71,SBAN 251600Z 05004KT 9999 SCT035 FEW045TCU 29/18 Q1020,M
SBGR,2025-01-25 16:00,89.60,68.00,49.10,300.00,10.00,0.00,30.00,M,6.21,M,BKN,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,93.47,SBGR 251600Z 30010KT 9999 BKN040 32/20 Q1016,M
SBAN,2025-01-25 17:00,84.20,62.60,48.32,340.00,4.00,0.00,30.09,M,6.21,M,SCT,FEW,M,M,3500.00,4500.00,M,M,M,M,M,M,M,M,M,85.03,SBAN 251700Z 34004KT 9999 SCT035 FEW045TCU 29/17 Q1019,M
SBGR,2025-01-25 17:00,89.60,68.00,49.10,300.00,10.00,0.00,29.97,M,6.21,M,SCT,FEW,M,M,4900.00,5000.00,M,M,M,M,M,M,M,M,M,93.47,SBGR 251700Z 30010KT 9999 SCT049 FEW050TCU 32/20 Q1015,M
SBAN,2025-01-25 18:00,86.00,62.60,45.61,350.00,4.00,0.00,30.06,M,6.21,M,SCT,FEW,M,M,3500.00,4500.00,M,M,M,M,M,M,M,M,M,86.72,SBAN 251800Z 35004KT 9999 SCT035 FEW045TCU 30/17 Q1018,M
SBGR,2025-01-25 18:00,91.40,66.20,43.61,290.00,11.00,0.00,29.94,M,6.21,M,SCT,FEW,M,M,4900.00,5000.00,M,M,M,M,M,M,M,M,M,94.29,SBGR 251800Z 29011KT 9999 SCT049 FEW050TCU 33/19 Q1014,M
SBGR,2025-01-25 19:00,89.60,68.00,49.10,280.00,10.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,93.47,SBGR 251900Z 28010KT CAVOK 32/20 Q1013,M
SBAN,2025-01-25 19:00,86.00,60.80,42.80,340.00,4.00,0.00,30.03,M,6.21,M,SCT,FEW,M,M,3500.00,4500.00,M,M,M,M,M,M,M,M,M,86.05,SBAN 251900Z 34004KT 9999 SCT035 FEW045TCU 30/16 Q1017,M
SBGR,2025-01-25 20:00,89.60,64.40,43.34,290.00,13.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,91.23,SBGR 252000Z 29013KT CAVOK 32/18 Q1013,M
SBAN,2025-01-25 20:00,84.20,62.60,48.32,300.00,3.00,0.00,30.03,M,6.21,M,SCT,FEW,M,M,3500.00,4500.00,M,M,M,M,M,M,M,M,M,85.03,SBAN 252000Z 30003KT 9999 SCT035 FEW045TCU 29/17 Q1017,M
SBAN,2025-01-25 21:00,82.40,66.20,58.08,240.00,4.00,0.00,30.03,M,6.21,M,SCT,FEW,M,M,3500.00,4500.00,M,M,VCSH,M,M,M,M,M,M,84.63,SBAN 252100Z 24004KT 9999 VCSH SCT035 FEW045TCU 28/19 Q1017,M
SBGR,2025-01-25 21:00,84.20,66.20,54.80,130.00,12.00,0.00,29.94,M,6.21,M,BKN,FEW,SCT,M,5000.00,5000.00,10000.00,M,VCTS,M,M,M,M,M,M,86.50,SBGR 252100Z 13012KT 9999 VCTS BKN050 FEW050CB SCT100 29/19 Q1014,M
SBGR,2025-01-25 22:00,77.00,68.00,73.78,80.00,7.00,0.00,29.97,M,6.21,M,BKN,FEW,SCT,M,4000.00,5000.00,10000.00,M,-RA VCTS,M,M,M,M,M,M,77.00,SBGR 252200Z 08007KT 9999 4000SW -RA VCTS BKN040 FEW050CB SCT100 25/20 Q1015,M
SBAN,2025-01-25 22:00,68.00,68.00,100.00,340.00,11.00,0.00,30.03,M,6.21,21.00,FEW,BKN,FEW,M,1500.00,4000.00,4500.00,M,TSRA,M,M,M,M,M,M,68.00,SBAN 252200Z 34011G21KT 9999 4000NW TSRA FEW015 BKN040 FEW045CB 20/20 Q1017,M
SBGR,2025-01-25 23:00,71.60,66.20,83.09,280.00,5.00,0.00,30.00,M,3.73,M,FEW,BKN,FEW,M,1300.00,4000.00,5000.00,M,-RA VCTS,M,M,M,M,M,M,71.60,SBGR 252300Z 28005KT 6000 -RA VCTS FEW013 BKN040 FEW050CB 22/19 Q1016,M
SBAN,2025-01-25 23:00,68.00,68.00,100.00,300.00,3.00,0.00,30.06,M,6.21,M,SCT,FEW,M,M,4000.00,4500.00,M,M,VCTS,M,M,M,M,M,M,68.00,SBAN 252300Z 30003KT 9999 VCTS SCT040 FEW045CB 20/20 Q1018 RETSRA,M
SBGR,2025-01-25 23:02,71.60,66.20,83.09,110.00,10.00,0.00,30.03,M,6.21,M,FEW,BKN,FEW,BKN,1300.00,4000.00,5000.00,8000.00,-TSRA,M,M,M,M,M,M,71.60,SBGR 252302Z 11010KT 9999 4000SW -TSRA FEW013 BKN040 FEW050CB BKN080 22/19 Q1017 WS R10R,M
SBGR,2025-01-25 23:10,71.60,66.20,83.09,110.00,10.00,0.00,30.03,M,2.49,M,FEW,BKN,FEW,BKN,1300.00,4000.00,5000.00,8000.00,+TSRA,M,M,M,M,M,M,71.60,SBGR 252310Z 11010KT 4000 +TSRA FEW013 BKN040 FEW050CB BKN080 22/19 Q1017 WS R10R,M
